VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1.0,2020-01-01 00:46:18,2020-01-01 01:27:34,1.0,5.4,1.0,27.0,3.0,0.5,6.15,0.0,0.3,36.95,2.5
2.0,2020-01-01 00:31:51,2020-01-01 00:36:52,6.0,0.8,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
2.0,2020-01-01 00:38:08,2020-01-01 00:54:02,6.0,2.49,1.0,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5
2.0,2020-01-01 00:09:50,2020-01-01 00:15:59,1.0,1.21,2.0,6.5,0.5,0.5,0.0,0.0,0.3,10.3,2.5
2.0,2020-01-01 00:19:49,2020-01-01 00:29:51,1.0,1.39,1.0,8.0,0.5,0.5,2.36,0.0,0.3,14.16,2.5
2.0,2020-01-01 00:33:05,2020-01-01 00:40:50,1.0,1.11,1.0,7.0,0.5,0.5,2.16,0.0,0.3,12.96,2.5
2.0,2020-01-01 00:25:07,2020-01-01 00:46:30,1.0,3.29,1.0,15.5,0.5,0.5,3.86,0.0,0.3,23.16,2.5
2.0,2020-01-01 00:53:35,2020-01-01 01:01:16,1.0,1.47,2.0,7.5,0.5,0.5,0.0,0.0,0.3,11.3,2.5
1.0,2020-01-01 00:24:35,2020-01-01 00:41:50,1.0,1.7,3.0,12.0,3.0,0.5,0.0,0.0,0.3,15.8,2.5
1.0,2020-01-01 00:42:34,2020-01-01 00:47:38,3.0,0.7,1.0,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5
1.0,2020-01-01 00:51:24,2020-01-01 00:59:31,1.0,1.6,1.0,8.0,3.0,0.5,2.35,0.0,0.3,14.15,2.5
2.0,2020-01-01 00:20:11,2020-01-01 00:44:48,1.0,9.46,1.0,30.0,0.5,0.5,10.14,0.0,0.3,43.94,2.5
2.0,2020-01-01 00:45:58,2020-01-01 00:51:28,1.0,1.05,1.0,6.5,0.5,0.5,1.17,0.0,0.3,8.97,0.0
1.0,2020-01-01 00:02:12,2020-01-01 00:20:04,2.0,4.5,2.0,17.0,3.0,0.5,0.0,0.0,0.3,20.8,2.5
1.0,2020-01-01 00:25:18,2020-01-01 00:49:50,2.0,1.8,1.0,15.5,3.0,0.5,3.85,0.0,0.3,23.15,2.5
1.0,2020-01-01 00:56:14,2020-01-01 00:58:28,4.0,0.2,2.0,3.5,3.0,0.5,0.0,0.0,0.3,7.3,2.5
1.0,2020-01-01 00:59:51,2020-01-01 01:26:57,2.0,1.8,1.0,16.5,3.0,0.5,3.05,0.0,0.3,23.35,2.5
2.0,2020-01-01 00:15:15,2020-01-01 00:28:00,5.0,1.74,2.0,10.0,0.5,0.5,0.0,0.0,0.3,13.8,2.5
